
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server
  2026-04-18 09:10:38 /build/assets/label-DvaAh-q5.js ...................................................... ~ 2.83ms
  2026-04-18 09:10:38 /build/assets/icons-SR0X9dbd.js ...................................................... ~ 8.23ms
  2026-04-18 09:10:38 /build/assets/input-error-Dhn6YXaJ.js ................................................ ~ 0.20ms
  2026-04-18 09:10:38 /build/assets/checkbox-DaNu_BBq.js ................................................... ~ 1.51ms
  2026-04-18 09:10:38 /build/assets/useFormFields-BIx9m98X.js .............................................. ~ 2.48ms
  2026-04-18 09:10:38 /build/assets/tooltip-BMDjSTbI.js .................................................... ~ 3.73ms
  2026-04-18 09:10:38 /build/assets/textarea-DerARbtI.js ................................................... ~ 5.65ms
  2026-04-18 09:10:38 /build/assets/radio-group-DgngZVqM.js ................................................ ~ 7.35ms
  2026-04-18 09:10:38 /translations/ar ......................................................................... ~ 1s
  2026-04-18 09:10:38 /translations/en ......................................................................... ~ 1s
  2026-04-18 09:10:38 /build/assets/slider-DeDiILue.js ......................................................... ~ 1s
  2026-04-18 09:10:38 /build/assets/dialog-BF8i4SaC.js ......................................................... ~ 1s
  2026-04-18 09:10:38 /build/assets/badge--hrJss-0.js .......................................................... ~ 1s
  2026-04-18 09:10:38 /build/assets/usePageButtons-BFNsypsx.js ................................................. ~ 1s
  2026-04-18 09:11:03 /login ................................................................................... ~ 1s
  2026-04-18 09:11:03 ...................................................................................... ~ 0.34ms
  2026-04-18 09:11:03 /_debugbar/assets/stylesheets ...................................................... ~ 511.14ms
  2026-04-18 09:11:04 /_debugbar/assets/javascript ....................................................... ~ 509.16ms
